,URL,Name,Age,Year_Joined,Title
0,http://www.reuters.com/finance/stocks/company-officers/AAPL,Art Levinson,67,2011,Independent Chairman of the Board
1,http://www.reuters.com/finance/stocks/company-officers/AAPL,Timothy Cook,57,2011,"Chief Executive Officer, Director"
2,http://www.reuters.com/finance/stocks/company-officers/AAPL,Luca Maestri,54,2014,"Chief Financial Officer, Senior Vice President"
3,http://www.reuters.com/finance/stocks/company-officers/AAPL,Jeff Williams,54,2015,"Chief Operating Officer, Senior Vice President"
4,http://www.reuters.com/finance/stocks/company-officers/AAPL,Katherine Adams,53,2017,"Senior Vice President, General Counsel"
5,http://www.reuters.com/finance/stocks/company-officers/AAPL,Phil Schiller,57,2002,Senior Vice President - Worldwide Marketing
6,http://www.reuters.com/finance/stocks/company-officers/AAPL,Angela Ahrendts,57,2014,Senior Vice President - Retail
7,http://www.reuters.com/finance/stocks/company-officers/AAPL,Eddy Cue,54,2011,Senior Vice President - Internet Software and Services
8,http://www.reuters.com/finance/stocks/company-officers/AAPL,Craig Federighi,48,2012,Senior Vice President - Software Engineering
9,http://www.reuters.com/finance/stocks/company-officers/AAPL,Daniel Riccio,55,2012,Senior Vice President - Hardware Engineering
10,http://www.reuters.com/finance/stocks/company-officers/AAPL,Johny Srouji,53,2015,Senior Vice President - Hardware Technologies
11,http://www.reuters.com/finance/stocks/company-officers/AAPL,James Bell,69,2015,Independent Director
12,http://www.reuters.com/finance/stocks/company-officers/AAPL,AI Gore,69,2003,Independent Director
13,http://www.reuters.com/finance/stocks/company-officers/AAPL,Robert Iger,67,2011,Independent Director
14,http://www.reuters.com/finance/stocks/company-officers/AAPL,Andrea Jung,59,2008,Independent Director
15,http://www.reuters.com/finance/stocks/company-officers/AAPL,Ronald Sugar,69,2010,Independent Director
16,http://www.reuters.com/finance/stocks/company-officers/AAPL,Sue Wagner,56,2014,Independent Director
